date,precipitation,snowfall,snow_depth,location,Total Precip,,,
1/2/2014,0.13,2.4,0,JFK,2.53,,152/730,Inclement 
1/3/2014,0.22,5.5,7,JFK,5.72,,578/730,Clear
1/5/2014,0.1,0,6,JFK,0.1,,,
1/6/2014,0.41,0,1,JFK,0.41,,,
1/10/2014,0.19,0.1,0,JFK,0.29,,,
1/11/2014,0.72,0,0,JFK,0.72,,,
1/14/2014,0.55,0,0,JFK,0.55,,,
1/18/2014,0.24,0.1,0,JFK,0.34,,,
1/21/2014,0.35,6.8,0,JFK,7.15,,,
1/22/2014,0.01,0.3,7,JFK,0.31,,,
1/25/2014,0.04,0.8,5,JFK,0.84,,,
1/29/2014,0.05,1,2,JFK,1.05,,,
2/3/2014,1.08,6.7,0,JFK,7.78,,,
2/5/2014,1.2,2.2,7,JFK,3.4,,,
2/9/2014,0.13,1.5,5,JFK,1.63,,,
2/13/2014,1.27,5.5,7,JFK,6.77,,,
2/14/2014,0.13,1.4,10,JFK,1.53,,,
2/15/2014,0.11,1.6,9,JFK,1.71,,,
2/18/2014,0.15,1.6,10,JFK,1.75,,,
2/19/2014,0.31,0,8,JFK,0.31,,,
2/21/2014,0.14,0,3,JFK,0.14,,,
2/26/2014,0.03,0.5,0,JFK,0.53,,,
3/3/2014,0.04,0.6,1,JFK,0.64,,,
3/12/2014,0.15,0,0,JFK,0.15,,,
3/19/2014,0.72,0,0,JFK,0.72,,,
3/29/2014,2.6,0,0,JFK,2.6,,,
3/30/2014,0.53,0,0,JFK,0.53,,,
3/31/2014,0.21,0,0,JFK,0.21,,,
4/4/2014,0.1,0,0,JFK,0.1,,,
4/7/2014,0.35,0,0,JFK,0.35,,,
4/8/2014,0.25,0,0,JFK,0.25,,,
4/15/2014,0.65,0.1,0,JFK,0.75,,,
4/26/2014,0.71,0,0,JFK,0.71,,,
4/30/2014,4.68,0,0,JFK,4.68,,,
5/1/2014,0.24,0,0,JFK,0.24,,,
5/8/2014,0.38,0,0,JFK,0.38,,,
5/10/2014,0.79,0,0,JFK,0.79,,,
5/15/2014,0.14,0,0,JFK,0.14,,,
5/16/2014,1.26,0,0,JFK,1.26,,,
5/22/2014,0.32,0,0,JFK,0.32,,,
5/23/2014,0.32,0,0,JFK,0.32,,,
6/5/2014,0.5,0,0,JFK,0.5,,,
6/9/2014,0.95,0,0,JFK,0.95,,,
6/13/2014,0.99,0,0,JFK,0.99,,,
7/2/2014,0.52,0,0,JFK,0.52,,,
7/3/2014,0.35,0,0,JFK,0.35,,,
7/4/2014,0.32,0,0,JFK,0.32,,,
7/14/2014,1.87,0,0,JFK,1.87,,,
7/15/2014,1.03,0,0,JFK,1.03,,,
7/28/2014,0.51,0,0,JFK,0.51,,,
8/2/2014,0.4,0,0,JFK,0.4,,,
8/12/2014,0.34,0,0,JFK,0.34,,,
8/13/2014,2.92,0,0,JFK,2.92,,,
8/21/2014,0.21,0,0,JFK,0.21,,,
8/22/2014,0.13,0,0,JFK,0.13,,,
8/31/2014,0.14,0,0,JFK,0.14,,,
9/13/2014,0.29,0,0,JFK,0.29,,,
9/16/2014,0.26,0,0,JFK,0.26,,,
9/20/2014,0.37,0,0,JFK,0.37,,,
9/21/2014,0.21,0,0,JFK,0.21,,,
9/25/2014,0.23,0,0,JFK,0.23,,,
10/4/2014,0.7,0,0,JFK,0.7,,,
10/11/2014,0.45,0,0,JFK,0.45,,,
10/16/2014,0.78,0,0,JFK,0.78,,,
10/22/2014,1.42,0,0,JFK,1.42,,,
10/23/2014,0.12,0,0,JFK,0.12,,,
11/1/2014,1.03,0,0,JFK,1.03,,,
11/6/2014,0.43,0,0,JFK,0.43,,,
11/13/2014,0.11,0,0,JFK,0.11,,,
11/17/2014,1.37,0,0,JFK,1.37,,,
11/24/2014,0.45,0,0,JFK,0.45,,,
11/26/2014,1,0.1,0,JFK,1.1,,,
12/3/2014,0.15,0,0,JFK,0.15,,,
12/5/2014,0.55,0,0,JFK,0.55,,,
12/6/2014,1.24,0,0,JFK,1.24,,,
12/9/2014,3.04,0,0,JFK,3.04,,,
12/10/2014,0.11,0.3,0,JFK,0.41,,,
12/16/2014,0.3,0,0,JFK,0.3,,,
12/23/2014,0.21,0,0,JFK,0.21,,,
12/24/2014,1.05,0,0,JFK,1.05,,,
1/3/2015,0.94,0,0,JFK,0.94,,,
1/4/2015,0.47,0,0,JFK,0.47,,,
1/6/2015,0.07,1.1,0,JFK,1.17,,,
1/9/2015,0.07,1.3,0,JFK,1.37,,,
1/12/2015,0.7,0,0,JFK,0.7,,,
1/18/2015,1.62,0,0,JFK,1.62,,,
1/24/2015,0.75,3.4,3,JFK,4.15,,,
1/26/2015,0.33,5.1, ,JFK,5.43,,,
1/27/2015,0.31,5.6,9,JFK,5.91,,,
1/30/2015,0.04,0.6,9,JFK,0.64,,,
2/1/2015,0.03,0.3,7,JFK,0.33,,,
2/2/2015,1.18,4.2,8,JFK,5.38,,,
2/5/2015,0,0.1,5,JFK,0.1,,,
2/9/2015,0.14,0.1,2,JFK,0.24,,,
2/14/2015,0.01,0.4,1,JFK,0.41,,,
2/15/2015,0.01,0.3,1,JFK,0.31,,,
2/17/2015,0.19,3.5,4,JFK,3.69,,,
2/21/2015,0.59,4.5,1,JFK,5.09,,,
2/22/2015,0.2,0.2,5,JFK,0.4,,,
3/1/2015,0.51,3.1,1,JFK,3.61,,,
3/3/2015,0.7,1.2,3,JFK,1.9,,,
3/4/2015,0.3,0,3,JFK,0.3,,,
3/5/2015,0.73,5.8,1,JFK,6.53,,,
3/10/2015,0.49,0,1,JFK,0.49,,,
3/14/2015,1.11,0,0,JFK,1.11,,,
3/20/2015,0.33,3,0,JFK,3.33,,,
3/25/2015,0.12,0,0,JFK,0.12,,,
3/26/2015,0.25,0,0,JFK,0.25,,,
3/27/2015,0.23,0,0,JFK,0.23,,,
4/3/2015,0.11,0,0,JFK,0.11,,,
4/10/2015,0.19,0,0,JFK,0.19,,,
4/17/2015,0.11,0,0,JFK,0.11,,,
4/20/2015,0.87,0,0,JFK,0.87,,,
4/22/2015,0.19,0,0,JFK,0.19,,,
5/16/2015,0.41,0,0,JFK,0.41,,,
6/1/2015,0.78,0,0,JFK,0.78,,,
6/2/2015,0.34,0,0,JFK,0.34,,,
6/6/2015,0.2,0,0,JFK,0.2,,,
6/14/2015,0.31,0,0,JFK,0.31,,,
6/15/2015,1.09,0,0,JFK,1.09,,,
6/20/2015,0.32,0,0,JFK,0.32,,,
6/21/2015,0.51,0,0,JFK,0.51,,,
6/27/2015,1.02,0,0,JFK,1.02,,,
6/28/2015,0.3,0,0,JFK,0.3,,,
7/1/2015,0.26,0,0,JFK,0.26,,,
7/8/2015,0.53,0,0,JFK,0.53,,,
7/9/2015,0.32,0,0,JFK,0.32,,,
7/14/2015,0.13,0,0,JFK,0.13,,,
7/30/2015,0.97,0,0,JFK,0.97,,,
8/11/2015,1.13,0,0,JFK,1.13,,,
8/21/2015,2.48,0,0,JFK,2.48,,,
9/10/2015,1.18,0,0,JFK,1.18,,,
9/12/2015,0.27,0,0,JFK,0.27,,,
9/29/2015,0.13,0,0,JFK,0.13,,,
9/30/2015,0.82,0,0,JFK,0.82,,,
10/2/2015,1.81,0,0,JFK,1.81,,,
10/3/2015,0.16,0,0,JFK,0.16,,,
10/9/2015,0.28,0,0,JFK,0.28,,,
10/28/2015,1.79,0,0,JFK,1.79,,,
11/10/2015,0.45,0,0,JFK,0.45,,,
11/19/2015,0.58,0,0,JFK,0.58,,,
12/1/2015,0.29,0,0,JFK,0.29,,,
12/2/2015,0.12,0,0,JFK,0.12,,,
12/14/2015,0.36,0,0,JFK,0.36,,,
12/17/2015,1.17,0,0,JFK,1.17,,,
12/22/2015,0.19,0,0,JFK,0.19,,,
12/23/2015,1.16,0,0,JFK,1.16,,,
12/25/2015,0.1,0,0,JFK,0.1,,,
12/28/2015,0.05,0.1,0,JFK,0.15,,,
12/29/2015,0.66, ,0,JFK,0.66,,,
12/30/2015,0.37,0,0,JFK,0.37,,,
,,,,,,,,
1/2/2014,0.18,3.4,0,LGA,3.58,,,
1/3/2014,0.25,4.5,7,LGA,4.75,,,
1/5/2014,0.1,0,4,LGA,0.1,,,
1/6/2014,0.31,0,0,LGA,0.31,,,
1/10/2014,0.15,0.1,0,LGA,0.25,,,
1/11/2014,0.5,0,0,LGA,0.5,,,
1/14/2014,0.38,0,0,LGA,0.38,,,
1/18/2014,0.15,0,0,LGA,0.15,,,
1/21/2014,0.25,8.1,0,LGA,8.35,,,
1/22/2014,0,0,8,LGA,0,,,
1/25/2014,0.02,0.2,4,LGA,0.22,,,
1/29/2014,0.05,0.3,1,LGA,0.35,,,
2/3/2014,1.08,7.1,1,LGA,8.18,,,
2/5/2014,1.18,3.3,8,LGA,4.48,,,
2/9/2014,0.1,1.2,6,LGA,1.3,,,
2/13/2014,1.68,7.7,9,LGA,9.38,,,
2/14/2014,0.25,3.2,13,LGA,3.45,,,
2/15/2014,0.1,3,9,LGA,3.1,,,
2/18/2014,0.15,1.5,10,LGA,1.65,,,
2/19/2014,0.25,0,10,LGA,0.25,,,
2/21/2014,0.11,0,5,LGA,0.11,,,
2/26/2014,0.01,0.2,0,LGA,0.21,,,
3/3/2014,0.01,0.4,0,LGA,0.41,,,
3/12/2014,0.35,0,0,LGA,0.35,,,
3/19/2014,0.99,0,0,LGA,0.99,,,
3/29/2014,1.79,0,0,LGA,1.79,,,
3/30/2014,0.37,0,0,LGA,0.37,,,
3/31/2014,0.12,0,0,LGA,0.12,,,
4/4/2014,0.19,0,0,LGA,0.19,,,
4/7/2014,0.66,0,0,LGA,0.66,,,
4/8/2014,0.34,0,0,LGA,0.34,,,
4/15/2014,0.87,0.1,0,LGA,0.97,,,
4/26/2014,0.76,0,0,LGA,0.76,,,
4/30/2014,5.26,0,0,LGA,5.26,,,
5/1/2014,0.15,0,0,LGA,0.15,,,
5/8/2014,0.39,0,0,LGA,0.39,,,
5/10/2014,0.91,0,0,LGA,0.91,,,
5/15/2014,0.14,0,0,LGA,0.14,,,
5/16/2014,1.61,0,0,LGA,1.61,,,
5/22/2014,0.28,0,0,LGA,0.28,,,
5/23/2014,1.07,0,0,LGA,1.07,,,
6/5/2014,0.7,0,0,LGA,0.7,,,
6/9/2014,1.24,0,0,LGA,1.24,,,
6/13/2014,1.55,0,0,LGA,1.55,,,
7/2/2014,0.63,0,0,LGA,0.63,,,
7/3/2014,0.73,0,0,LGA,0.73,,,
7/4/2014,0.16,0,0,LGA,0.16,,,
7/14/2014,0.74,0,0,LGA,0.74,,,
7/15/2014,0.93,0,0,LGA,0.93,,,
7/28/2014,0.26,0,0,LGA,0.26,,,
8/2/2014,0.4,0,0,LGA,0.4,,,
8/12/2014,0.14,0,0,LGA,0.14,,,
8/13/2014,0.78,0,0,LGA,0.78,,,
8/21/2014,1.24,0,0,LGA,1.24,,,
8/22/2014,0.07,0,0,LGA,0.07,,,
8/31/2014,0.79,0,0,LGA,0.79,,,
9/13/2014,0.19,0,0,LGA,0.19,,,
9/16/2014,0.42,0,0,LGA,0.42,,,
9/20/2014,0,0,0,LGA,0,,,
9/21/2014,0.21,0,0,LGA,0.21,,,
9/25/2014,0.17,0,0,LGA,0.17,,,
10/4/2014,1.05,0,0,LGA,1.05,,,
10/11/2014,0.33,0,0,LGA,0.33,,,
10/16/2014,0.77,0,0,LGA,0.77,,,
10/22/2014,1.26,0,0,LGA,1.26,,,
10/23/2014,0.32,0,0,LGA,0.32,,,
11/1/2014,0.18,0,0,LGA,0.18,,,
11/6/2014,0.34,0,0,LGA,0.34,,,
11/13/2014,0.17,0,0,LGA,0.17,,,
11/17/2014,1.49,0,0,LGA,1.49,,,
11/24/2014,0.61,0,0,LGA,0.61,,,
11/26/2014,1.07,0.4,0,LGA,1.47,,,
12/3/2014,0.1,0,0,LGA,0.1,,,
12/5/2014,0.52,0,0,LGA,0.52,,,
12/6/2014,1.29,0,0,LGA,1.29,,,
12/9/2014,2.68,0,0,LGA,2.68,,,
12/10/2014,0.14,1,0,LGA,1.14,,,
12/16/2014,0.16,0,0,LGA,0.16,,,
12/23/2014,0.18,0,0,LGA,0.18,,,
12/24/2014,0.67,0,0,LGA,0.67,,,
1/3/2015,0.67,0,0,LGA,0.67,,,
1/4/2015,0.31,0,0,LGA,0.31,,,
1/6/2015,0.05,1,0,LGA,1.05,,,
1/9/2015,0.12,1.8, ,LGA,1.92,,,
1/12/2015,0.39,0,0,LGA,0.39,,,
1/18/2015,1.98,0,0,LGA,1.98,,,
1/24/2015,0.73,4.1,3,LGA,4.83,,,
1/26/2015,0.3,6,1,LGA,6.3,,,
1/27/2015,0.25,5,9,LGA,5.25,,,
1/30/2015,0.15,1.5,7,LGA,1.65,,,
2/1/2015,0.04,0.4,5,LGA,0.44,,,
2/2/2015,1.08,6.1,9,LGA,7.18,,,
2/5/2015,0,0,6,LGA,0,,,
2/9/2015,0.07,0.2,3,LGA,0.27,,,
2/14/2015,0.05,0.6,4,LGA,0.65,,,
2/15/2015,0.01,0.2,5,LGA,0.21,,,
2/17/2015,0.13,3.2,8,LGA,3.33,,,
2/21/2015,0.6,3.6,5,LGA,4.2,,,
2/22/2015,0.11,0.5,8,LGA,0.61,,,
3/1/2015,0.48,3.5,3,LGA,3.98,,,
3/3/2015,0.72,1,5,LGA,1.72,,,
3/4/2015,0.25,0,4,LGA,0.25,,,
3/5/2015,0.6,8.1,3,LGA,8.7,,,
3/10/2015,0.42,0,1,LGA,0.42,,,
3/14/2015,1.02,0,0,LGA,1.02,,,
3/20/2015,0.28,4.6,0,LGA,4.88,,,
3/25/2015,0.05,0,0,LGA,0.05,,,
3/26/2015,0.24,0,0,LGA,0.24,,,
3/27/2015,0.28,0,0,LGA,0.28,,,
4/3/2015,0.04,0,0,LGA,0.04,,,
4/10/2015,0.24,0,0,LGA,0.24,,,
4/17/2015,0.08,0,0,LGA,0.08,,,
4/20/2015,0.95,0,0,LGA,0.95,,,
4/22/2015,0.1,0,0,LGA,0.1,,,
5/16/2015,0.27,0,0,LGA,0.27,,,
6/1/2015,0.77,0,0,LGA,0.77,,,
6/2/2015,0.35,0,0,LGA,0.35,,,
6/6/2015,0.55,0,0,LGA,0.55,,,
6/14/2015,0.26,0,0,LGA,0.26,,,
6/15/2015,0.55,0,0,LGA,0.55,,,
6/20/2015,0,0,0,LGA,0,,,
6/21/2015,0.54,0,0,LGA,0.54,,,
6/27/2015,1.06,0,0,LGA,1.06,,,
6/28/2015,0.26,0,0,LGA,0.26,,,
7/1/2015,0.35,0,0,LGA,0.35,,,
7/8/2015,0.09,0,0,LGA,0.09,,,
7/9/2015,0.29,0,0,LGA,0.29,,,
7/14/2015,0.95,0,0,LGA,0.95,,,
7/30/2015,1.62,0,0,LGA,1.62,,,
8/11/2015,1.18,0,0,LGA,1.18,,,
8/21/2015,0.32,0,0,LGA,0.32,,,
9/10/2015,1.04,0,0,LGA,1.04,,,
9/12/2015,0.17,0,0,LGA,0.17,,,
9/29/2015,0.08,0,0,LGA,0.08,,,
9/30/2015,1.03,0,0,LGA,1.03,,,
10/2/2015,1.15,0,0,LGA,1.15,,,
10/3/2015,0.36,0,0,LGA,0.36,,,
10/9/2015,0.5,0,0,LGA,0.5,,,
10/28/2015,1.25,0,0,LGA,1.25,,,
11/10/2015,0.27,0,0,LGA,0.27,,,
11/19/2015,1.16,0,0,LGA,1.16,,,
12/1/2015,0.33,0,0,LGA,0.33,,,
12/2/2015,0.14,0,0,LGA,0.14,,,
12/14/2015,0.28,0,0,LGA,0.28,,,
12/17/2015,0.89,0,0,LGA,0.89,,,
12/22/2015,0.18,0,0,LGA,0.18,,,
12/23/2015,1.45,0,0,LGA,1.45,,,
12/25/2015,0.03,0,0,LGA,0.03,,,
12/28/2015,0.05,0,0,LGA,0.05,,,
12/29/2015,0.45,0,0,LGA,0.45,,,
12/30/2015,0.17,0,0,LGA,0.17,,,
,,,,,,,,
1/2/2014,0.33,3.1,0,Central Park,3.43,,,
1/3/2014,0.29,3.3,6,Central Park,3.59,,,
1/5/2014,0.14,0,4,Central Park,0.14,,,
1/6/2014,0.36,0,1,Central Park,0.36,,,
1/10/2014,0.11,0,0,Central Park,0.11,,,
1/11/2014,0.5,0,0,Central Park,0.5,,,
1/14/2014,0.38,0,0,Central Park,0.38,,,
1/18/2014,0.07,0,0,Central Park,0.07,,,
1/21/2014,0.46,11,0,Central Park,11.46,,,
1/22/2014,0.02,0.5,11,Central Park,0.52,,,
1/25/2014,0.04,1,4,Central Park,1.04,,,
1/29/2014,0.04,0.8,2,Central Park,0.84,,,
2/3/2014,1.17,8,1,Central Park,9.17,,,
2/5/2014,1.43,4,9,Central Park,5.43,,,
2/9/2014,0.1,1.2,8,Central Park,1.3,,,
2/13/2014,1.78,9.5,12,Central Park,11.28,,,
2/14/2014,0.3,3,18,Central Park,3.3,,,
2/15/2014,0.13,1.6,18,Central Park,1.73,,,
2/18/2014,0.16,1.5,18,Central Park,1.66,,,
2/19/2014,0.26,0,17,Central Park,0.26,,,
2/21/2014,0.09,0,13,Central Park,0.09,,,
2/26/2014,0.03,0.2,6,Central Park,0.23,,,
3/3/2014,0.04,0.1,5,Central Park,0.14,,,
3/12/2014,0.35,0,0,Central Park,0.35,,,
3/19/2014,0.92,0,0,Central Park,0.92,,,
3/29/2014,1.81,0,0,Central Park,1.81,,,
3/30/2014,0.35,0,0,Central Park,0.35,,,
3/31/2014,0.16,0,0,Central Park,0.16,,,
4/4/2014,0.21,0,0,Central Park,0.21,,,
4/7/2014,0.52,0,0,Central Park,0.52,,,
4/8/2014,0.34,0,0,Central Park,0.34,,,
4/15/2014,0.71,0,0,Central Park,0.71,,,
4/26/2014,0.92,0,0,Central Park,0.92,,,
4/30/2014,4.97,0,0,Central Park,4.97,,,
5/1/2014,0.12,0,0,Central Park,0.12,,,
5/8/2014,0.41,0,0,Central Park,0.41,,,
5/10/2014,0.37,0,0,Central Park,0.37,,,
5/15/2014,0.15,0,0,Central Park,0.15,,,
5/16/2014,1.54,0,0,Central Park,1.54,,,
5/22/2014,0.24,0,0,Central Park,0.24,,,
5/23/2014,0.91,0,0,Central Park,0.91,,,
6/5/2014,0.87,0,0,Central Park,0.87,,,
6/9/2014,1.6,0,0,Central Park,1.6,,,
6/13/2014,1.28,0,0,Central Park,1.28,,,
7/2/2014,0.96,0,0,Central Park,0.96,,,
7/3/2014,1.78,0,0,Central Park,1.78,,,
7/4/2014,0.14,0,0,Central Park,0.14,,,
7/14/2014,0.46,0,0,Central Park,0.46,,,
7/15/2014,1.3,0,0,Central Park,1.3,,,
7/28/2014,0.19,0,0,Central Park,0.19,,,
8/2/2014,0.41,0,0,Central Park,0.41,,,
8/12/2014,0.19,0,0,Central Park,0.19,,,
8/13/2014,0.53,0,0,Central Park,0.53,,,
8/21/2014,0.35,0,0,Central Park,0.35,,,
8/22/2014,0.06,0,0,Central Park,0.06,,,
8/31/2014,0.62,0,0,Central Park,0.62,,,
9/13/2014,0.26,0,0,Central Park,0.26,,,
9/16/2014,0.37,0,0,Central Park,0.37,,,
9/20/2014,0,0,0,Central Park,0,,,
9/21/2014,0.15,0,0,Central Park,0.15,,,
9/25/2014,0.32,0,0,Central Park,0.32,,,
10/4/2014,1.18,0,0,Central Park,1.18,,,
10/11/2014,0.33,0,0,Central Park,0.33,,,
10/16/2014,1.11,0,0,Central Park,1.11,,,
10/22/2014,1.51,0,0,Central Park,1.51,,,
10/23/2014,0.61,0,0,Central Park,0.61,,,
11/1/2014,0.35,0,0,Central Park,0.35,,,
11/6/2014,0.37,0,0,Central Park,0.37,,,
11/13/2014,0.2,0,0,Central Park,0.2,,,
11/17/2014,1.54,0,0,Central Park,1.54,,,
11/24/2014,0.7,0,0,Central Park,0.7,,,
11/26/2014,1.24,0.2,0,Central Park,1.44,,,
12/3/2014,0.06,0,0,Central Park,0.06,,,
12/5/2014,0.51,0,0,Central Park,0.51,,,
12/6/2014,1.22,0,0,Central Park,1.22,,,
12/9/2014,2.54,0,0,Central Park,2.54,,,
12/10/2014,0.08,1,0,Central Park,1.08,,,
12/16/2014,0.2,0,0,Central Park,0.2,,,
12/23/2014,0.16,0,0,Central Park,0.16,,,
12/24/2014,0.8,0,0,Central Park,0.8,,,
1/3/2015,0.71,0,0,Central Park,0.71,,,
1/4/2015,0.3,0,0,Central Park,0.3,,,
1/6/2015,0.05,1,0,Central Park,1.05,,,
1/9/2015,0.07,1.5, ,Central Park,1.57,,,
1/12/2015,0.36,0, ,Central Park,0.36,,,
1/18/2015,2.1,0,0,Central Park,2.1,,,
1/24/2015,0.72,3.6,3,Central Park,4.32,,,
1/26/2015,0.48,5.5,2,Central Park,5.98,,,
1/27/2015,0.36,4.3,8,Central Park,4.66,,,
1/30/2015,0.06,1,7,Central Park,1.06,,,
2/1/2015,0.03,0.3,6,Central Park,0.33,,,
2/2/2015,1.02,5,7,Central Park,6.02,,,
2/5/2015,0,0,8,Central Park,0,,,
2/9/2015,0.09,0,8,Central Park,0.09,,,
2/14/2015,0.02,0.9,8,Central Park,0.92,,,
2/15/2015,0,0,9,Central Park,0,,,
2/17/2015,0.14,3.3,12,Central Park,3.44,,,
2/21/2015,0.61,3,9,Central Park,3.61,,,
2/22/2015,0.1,1,13,Central Park,1.1,,,
3/1/2015,0.52,4.8,10,Central Park,5.32,,,
3/3/2015,0.67,1.8,14,Central Park,2.47,,,
3/4/2015,0.25,0,13,Central Park,0.25,,,
3/5/2015,0.76,7.5,13,Central Park,8.26,,,
3/10/2015,0.46,0,11,Central Park,0.46,,,
3/14/2015,0.81,0,1,Central Park,0.81,,,
3/20/2015,0.4,4.5,0,Central Park,4.9,,,
3/25/2015,0.05,0,0,Central Park,0.05,,,
3/26/2015,0.32,0,0,Central Park,0.32,,,
3/27/2015,0.27,0,0,Central Park,0.27,,,
4/3/2015,0.04,0,0,Central Park,0.04,,,
4/10/2015,0.17,0,0,Central Park,0.17,,,
4/17/2015,0.08,0,0,Central Park,0.08,,,
4/20/2015,1.37,0,0,Central Park,1.37,,,
4/22/2015,0.05,0,0,Central Park,0.05,,,
5/16/2015,0.3,0,0,Central Park,0.3,,,
6/1/2015,0.72,0,0,Central Park,0.72,,,
6/2/2015,0.37,0,0,Central Park,0.37,,,
6/6/2015,0.19,0,0,Central Park,0.19,,,
6/14/2015,0.36,0,0,Central Park,0.36,,,
6/15/2015,0.57,0,0,Central Park,0.57,,,
6/20/2015,0,0,0,Central Park,0,,,
6/21/2015,0.64,0,0,Central Park,0.64,,,
6/27/2015,1.12,0,0,Central Park,1.12,,,
6/28/2015,0.29,0,0,Central Park,0.29,,,
7/1/2015,0.39,0,0,Central Park,0.39,,,
7/8/2015,0,0,0,Central Park,0,,,
7/9/2015,0.3,0,0,Central Park,0.3,,,
7/14/2015,0.42,0,0,Central Park,0.42,,,
7/30/2015,1.95,0,0,Central Park,1.95,,,
8/11/2015,1.17,0,0,Central Park,1.17,,,
8/21/2015,0.32,0,0,Central Park,0.32,,,
9/10/2015,1.58,0,0,Central Park,1.58,,,
9/12/2015,0.29,0,0,Central Park,0.29,,,
9/29/2015,0.11,0,0,Central Park,0.11,,,
9/30/2015,1.26,0,0,Central Park,1.26,,,
10/2/2015,1.08,0,0,Central Park,1.08,,,
10/3/2015,0.35,0,0,Central Park,0.35,,,
10/9/2015,0.89,0,0,Central Park,0.89,,,
10/28/2015,1.4,0,0,Central Park,1.4,,,
11/10/2015,0.26,0,0,Central Park,0.26,,,
11/19/2015,1.25,0,0,Central Park,1.25,,,
12/1/2015,0.33,0,0,Central Park,0.33,,,
12/2/2015,0.14,0,0,Central Park,0.14,,,
12/14/2015,0.33,0,0,Central Park,0.33,,,
12/17/2015,1.21,0,0,Central Park,1.21,,,
12/22/2015,0.19,0,0,Central Park,0.19,,,
12/23/2015,1.55,0,0,Central Park,1.55,,,
12/25/2015,0.01,0,0,Central Park,0.01,,,
12/28/2015,0.03,0,0,Central Park,0.03,,,
12/29/2015,0.45,0,0,Central Park,0.45,,,
12/30/2015,0.19,0,0,Central Park,0.19,,,
